file_id,activity_id,sport,start_time,total_duration_seconds,total_distance_meters,total_calories,max_speed_ms,notes,file_path
BKTFC1GgegGs,"
      2024-07-31T10:48:53.593Z
",Running,NA,1839.504,5007.945289489752,284,3.998186341918679,NA,/cloud/project/running_data//BKTFC1GgegGs.xml
bst2ymjNh1ty,"
      2024-10-18T15:30:52.748Z
",Running,NA,2100.941,5328.235560800711,302,2.8160310055611473,NA,/cloud/project/running_data//bst2ymjNh1ty.xml
BTbLG9fNizOj,"
      2023-05-26T23:25:41.302Z
",Running,NA,113.744,328.6530134435743,18,3.1472461013021227,NA,/cloud/project/running_data//BTbLG9fNizOj.xml
BUByCnJoZrPO,"
      2025-01-10T12:30:20.846Z
",Running,NA,1500.04,3486.4028392967275,187,2.5747530421034837,NA,/cloud/project/running_data//BUByCnJoZrPO.xml
buOVofqwL4fZ,"
      2025-03-13T19:24:08.975Z
",Running,NA,1260.985,3236.7987106131627,182,6.956815633734531,NA,/cloud/project/running_data//buOVofqwL4fZ.xml
BXOOxWmN3dIj,"
      2025-07-03T23:06:06.099Z
",Running,NA,1726.795,4005.8633748383727,219,2.86678247561827,NA,/cloud/project/running_data//BXOOxWmN3dIj.xml
cdWFbb7AcXzx,"
      2023-10-26T10:42:56.800Z
",Running,NA,1800.425,4828.976339427288,274,3.193701653490134,NA,/cloud/project/running_data//cdWFbb7AcXzx.xml
cFyxU8n-On1N,"
      2023-11-12T16:08:04.386Z
",Running,NA,3739.654,10006.256318832282,566,3.177661194880919,NA,/cloud/project/running_data//cFyxU8n-On1N.xml
D5bc2F5kiDew,"
      2023-05-24T22:09:22.526Z
",Running,NA,810.008,2066.0226181581393,122,3.9818140185803808,NA,/cloud/project/running_data//D5bc2F5kiDew.xml
D5UeJWBHS860,"
      2023-12-01T17:26:40.642Z
",Running,NA,361.233,1045.9807547752284,59,4.188095495855923,NA,/cloud/project/running_data//D5UeJWBHS860.xml
DcR459L-nsmZ,"
      2023-10-31T10:51:08.411Z
",Running,NA,900.006,2436.959814941976,138,2.889137753856039,NA,/cloud/project/running_data//DcR459L-nsmZ.xml
dlYGPsS5mJAX,"
      2024-11-09T17:29:41.024Z
",Running,NA,2185.398,5471.8531706001995,306,2.973451712727754,NA,/cloud/project/running_data//dlYGPsS5mJAX.xml
DtqbYyTXENEy,"
      2025-07-13T14:05:17.682Z
",Running,NA,2696.997,6315.761533443344,347,3.3883949216088065,NA,/cloud/project/running_data//DtqbYyTXENEy.xml
DxjlvjeGLgAC,"
      2023-11-06T12:11:42.396Z
",Running,NA,24.896,56.87392816343345,3,2.805028584822431,NA,/cloud/project/running_data//DxjlvjeGLgAC.xml
E1vB7WtGNHPX,"
      2025-07-07T00:06:25.566Z
",Running,NA,1416.681,3423.636302507947,191,3.1990862281839876,NA,/cloud/project/running_data//E1vB7WtGNHPX.xml
eGjyOdxqwWcP,"
      2022-11-09T00:05:49.600Z
",Running,NA,1328.007,3618.633868996281,207,2.9996653450219632,NA,/cloud/project/running_data//eGjyOdxqwWcP.xml
EJMx5UItwJyc,"
      2025-02-16T13:45:40.869Z
",Running,NA,1345.345,3004.264977956185,167,2.454593832156312,NA,/cloud/project/running_data//EJMx5UItwJyc.xml
ElcoTjiN2I6N,"
      2024-09-13T13:49:57.871Z
",Running,NA,900.985,2222.510030602103,126,2.779352115750601,NA,/cloud/project/running_data//ElcoTjiN2I6N.xml
eLGHw5DIbG-U,"
      2024-07-26T11:25:08.781Z
",Running,NA,900.984,2222.732325620104,135,3.2992907684693362,NA,/cloud/project/running_data//eLGHw5DIbG-U.xml
ElUeS6TEKdx1,"
      2023-12-30T14:28:49.088Z
",Running,NA,2100.003,5696.241941796851,323,3.283026937483235,NA,/cloud/project/running_data//ElUeS6TEKdx1.xml
EN20pTh-BlDi,"
      2023-11-12T17:26:44.361Z
",undefined,NA,792.87,0,0,0,NA,/cloud/project/running_data//EN20pTh-BlDi.xml
Eqz3HKam_bTR,"
      2025-03-17T20:22:00.576Z
",Running,NA,2097.037,4753.13034974329,258,2.604766369039744,NA,/cloud/project/running_data//Eqz3HKam_bTR.xml
exwoeIdwnAQH,"
      2025-02-02T15:12:56.181Z
",Running,NA,2248.568,5007.217171447239,267,2.727583737812951,NA,/cloud/project/running_data//exwoeIdwnAQH.xml
FD_b1Avr6OnH,"
      2025-01-31T10:51:34.016Z
",Running,NA,1560.029,3455.3773756355495,193,2.5745548120378228,NA,/cloud/project/running_data//FD_b1Avr6OnH.xml
fDo8pZKOd7sf,"
      2023-05-19T12:37:52.565Z
",Running,NA,2521.728,5444.733984119608,288,2.8034842217651463,NA,/cloud/project/running_data//fDo8pZKOd7sf.xml
fEMKZoGFOClk,"
      2023-11-10T12:47:37.380Z
",undefined,NA,764.251,0,0,0,NA,/cloud/project/running_data//fEMKZoGFOClk.xml
fLHYZvzMSoMY,"
      2024-01-02T21:52:05.844Z
",Running,NA,208.351,383.442458188394,20,2.389052675090641,NA,/cloud/project/running_data//fLHYZvzMSoMY.xml
fpjz1M691Fbn,"
      2025-02-24T15:32:30.355Z
",Running,NA,600.398,1283.1980476988244,79,2.573265036295049,NA,/cloud/project/running_data//fpjz1M691Fbn.xml
frwvzqDXKR5y,"
      2023-05-12T13:04:21.190Z
",Running,NA,300.163,819.2276834645311,46,3.9991087500298272,NA,/cloud/project/running_data//frwvzqDXKR5y.xml
GBU2wukjVtwJ,"
      2024-11-04T10:41:39.147Z
",Running,NA,1677.999,4004.003190573711,215,2.808128315975784,NA,/cloud/project/running_data//GBU2wukjVtwJ.xml
